2021-06-28 08:46:59,208 [DEBUG] Response: 200 https://sqs.us-east-1.amazonaws.com/668920780829/e93e27a997f14cb264cc217dfd41f65a4900398815fa3ceee5153ea8c2ac1261/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-requestid': '809c9e68-0e8f-55a3-b107-c73b802048fb', 'date': 'Mon, 28 Jun 2021 08:46:59 GMT', 'content-type': 'text/xml', 'content-length': '240'}]
2021-06-28 08:47:19,237 [DEBUG] Response: 200 https://sqs.us-east-1.amazonaws.com/668920780829/e93e27a997f14cb264cc217dfd41f65a4900398815fa3ceee5153ea8c2ac1261/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-requestid': '0f80bf33-3b73-5a04-bf90-e660b5b0198b', 'date': 'Mon, 28 Jun 2021 08:47:19 GMT', 'content-type': 'text/xml', 'content-length': '240'}]
2021-06-28 08:47:39,262 [DEBUG] Response: 200 https://sqs.us-east-1.amazonaws.com/668920780829/e93e27a997f14cb264cc217dfd41f65a4900398815fa3ceee5153ea8c2ac1261/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-requestid': '7abf2e8e-10f3-5e6c-8eda-77dd9e24c269', 'date': 'Mon, 28 Jun 2021 08:47:39 GMT', 'content-type': 'text/xml', 'content-length': '240'}]
2021-06-28 08:47:59,289 [DEBUG] Response: 200 https://sqs.us-east-1.amazonaws.com/668920780829/e93e27a997f14cb264cc217dfd41f65a4900398815fa3ceee5153ea8c2ac1261/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-requestid': '5ef9f10a-7813-500c-a67d-a859f6f89188', 'date': 'Mon, 28 Jun 2021 08:47:59 GMT', 'content-type': 'text/xml', 'content-length': '240'}]
2021-06-28 08:48:19,316 [DEBUG] Response: 200 https://sqs.us-east-1.amazonaws.com/668920780829/e93e27a997f14cb264cc217dfd41f65a4900398815fa3ceee5153ea8c2ac1261/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-requestid': '69826a76-861b-5b73-aa5d-332508e4c609', 'date': 'Mon, 28 Jun 2021 08:48:19 GMT', 'content-type': 'text/xml', 'content-length': '240'}]
2021-06-28 08:48:39,383 [DEBUG] Response: 200 https://sqs.us-east-1.amazonaws.com/668920780829/e93e27a997f14cb264cc217dfd41f65a4900398815fa3ceee5153ea8c2ac1261/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-requestid': '200c5e2a-e6b9-5697-9fed-077969aa8583', 'date': 'Mon, 28 Jun 2021 08:48:39 GMT', 'content-type': 'text/xml', 'content-length': '240'}]
2021-06-28 08:48:59,409 [DEBUG] Response: 200 https://sqs.us-east-1.amazonaws.com/668920780829/e93e27a997f14cb264cc217dfd41f65a4900398815fa3ceee5153ea8c2ac1261/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-requestid': '7bc174d4-ae75-5c3f-a2c8-2d872152e6b5', 'date': 'Mon, 28 Jun 2021 08:48:59 GMT', 'content-type': 'text/xml', 'content-length': '240'}]
2021-06-28 08:49:19,441 [DEBUG] Response: 200 https://sqs.us-east-1.amazonaws.com/668920780829/e93e27a997f14cb264cc217dfd41f65a4900398815fa3ceee5153ea8c2ac1261/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-requestid': 'f87b514e-facd-5989-b3de-081d75f60071', 'date': 'Mon, 28 Jun 2021 08:49:19 GMT', 'content-type': 'text/xml', 'content-length': '240'}]
2021-06-28 08:49:39,469 [DEBUG] Response: 200 https://sqs.us-east-1.amazonaws.com/668920780829/e93e27a997f14cb264cc217dfd41f65a4900398815fa3ceee5153ea8c2ac1261/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-requestid': '6745cf38-281a-5423-88af-966ba7553506', 'date': 'Mon, 28 Jun 2021 08:49:39 GMT', 'content-type': 'text/xml', 'content-length': '240'}]
2021-06-28 08:49:59,497 [DEBUG] Response: 200 https://sqs.us-east-1.amazonaws.com/668920780829/e93e27a997f14cb264cc217dfd41f65a4900398815fa3ceee5153ea8c2ac1261/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-requestid': 'f5475abf-6df0-57ba-b308-03ece293ff32', 'date': 'Mon, 28 Jun 2021 08:49:59 GMT', 'content-type': 'text/xml', 'content-length': '240'}]
